snapshot_name,optimizer_step,state_id,disclosure_level,activation_level,trust_level,sampling_probability_mean,probability_ratio_to_uniform,visit_groups_sum,hierarchical_pass_rate_mean,boundary_value_mean,uncertainty_bonus_mean,allocation_score_mean
warmup_end,60,0,delayed,moderate,trust_1,0.041666666666666664,1.0,45,0.29835126989564237,0.5967025397912847,1.0785915700101432,0.7584912752928061
warmup_end,60,1,delayed,moderate,trust_2,0.041666666666666664,1.0,34,0.22627738595438174,0.4525547719087635,1.1609544037141888,0.6266979324658918
warmup_end,60,2,delayed,moderate,trust_3,0.041666666666666664,1.0,33,0.41248608312185897,0.822131257152809,1.2069215811961382,1.0031694943322296
warmup_end,60,3,delayed,moderate,trust_4,0.041666666666666664,1.0,44,0.31342517100147915,0.6268503420029583,1.060626751919764,0.7859443547909228
warmup_end,60,4,delayed,high,trust_1,0.041666666666666664,1.0,39,0.17942671381404343,0.35885342762808686,1.174063096869164,0.5349628921584615
warmup_end,60,5,delayed,high,trust_2,0.041666666666666664,1.0,40,0.2232736181709224,0.4465472363418448,1.1487123332245368,0.6188540863255253
warmup_end,60,6,delayed,high,trust_3,0.041666666666666664,1.0,38,0.31196207762819606,0.6239241552563921,1.1405449048923408,0.7950058909902432
warmup_end,60,7,delayed,high,trust_4,0.041666666666666664,1.0,38,0.1831657746252367,0.3663315492504734,1.1301073425969854,0.5358476506400213
warmup_end,60,8,conditional,moderate,trust_1,0.041666666666666664,1.0,57,0.2653273082687963,0.5306546165375926,0.9968522545327387,0.6801824547175034
warmup_end,60,9,conditional,moderate,trust_2,0.041666666666666664,1.0,35,0.38567621450956896,0.7594476671143761,1.2010260976756928,0.9396015817657299
warmup_end,60,10,conditional,moderate,trust_3,0.041666666666666664,1.0,39,0.27914986510942863,0.5582997302188573,1.132760554673695,0.7282138134199115
warmup_end,60,11,conditional,moderate,trust_4,0.041666666666666664,1.0,42,0.29628297428602307,0.5925659485720461,1.0925820760345333,0.7564532599772261
warmup_end,60,12,conditional,high,trust_1,0.041666666666666664,1.0,38,0.32940754092294056,0.6588150818458811,1.1781004782683355,0.8355301535861315
warmup_end,60,13,conditional,high,trust_2,0.041666666666666664,1.0,38,0.31660829654050127,0.6332165930810026,1.1847728008291292,0.810932513205372
warmup_end,60,14,conditional,high,trust_3,0.041666666666666664,1.0,47,0.3181196179639724,0.6362392359279448,1.0116742011514337,0.7879903661006599
warmup_end,60,15,conditional,high,trust_4,0.041666666666666664,1.0,47,0.3148465537560292,0.6296931075120584,1.0149701901117765,0.781938636028825
warmup_end,60,16,proactive,moderate,trust_1,0.041666666666666664,1.0,57,0.2534076028332659,0.5068152056665319,0.9546046622755778,0.6500059050078686
warmup_end,60,17,proactive,moderate,trust_2,0.041666666666666664,1.0,42,0.2607487832214067,0.5214975664428134,1.078990561539188,0.6833461506736916
warmup_end,60,18,proactive,moderate,trust_3,0.041666666666666664,1.0,29,0.2963638592410144,0.5927277184820288,1.2687520253930114,0.7830405222909805
warmup_end,60,19,proactive,moderate,trust_4,0.041666666666666664,1.0,29,0.2888212481962482,0.5776424963924964,1.3638125248245323,0.7822143751161762
warmup_end,60,20,proactive,high,trust_1,0.041666666666666664,1.0,26,0.4084266408081063,0.8006559372938683,1.4524486895603266,1.0185232407279172
warmup_end,60,21,proactive,high,trust_2,0.041666666666666664,1.0,39,0.40536610626268843,0.7678029195960839,1.1220947280934235,0.9361171288100973
warmup_end,60,22,proactive,high,trust_3,0.041666666666666664,1.0,41,0.3481415535844617,0.6962831071689234,1.1635333411211972,0.870813108337103
warmup_end,60,23,proactive,high,trust_4,0.041666666666666664,1.0,40,0.32296209560377426,0.6459241912075485,1.1443932881322962,0.8175831844273929
