optimizer_step,controller_groups_seen,controller_mode,normalized_entropy_mean,effective_pool_mean,max_probability_mean,min_probability_mean,state_coverage,unit_coverage,mean_pass_rate,pass_rate_std,mean_boundary_value,mean_uncertainty_bonus
0,0,uniform_initialization,1.0,24.0,0.0416666666666666,0.0416666666666666,0.0,0.0,,,,
5,80,uniform_initialization,0.999999999992448,23.999999999423995,0.0416666666666666,0.0416666666666666,1.0,0.3541666666666667,0.3546070650482415,0.0722986784862253,0.7406572733786275,1.863823485573815
10,160,uniform_initialization,0.999999999992448,23.999999999423995,0.0416666666666666,0.0416666666666666,1.0,0.5885416666666666,0.2838058483633705,0.0652321793842175,0.5927237659138701,1.8004208246876694
15,240,uniform_initialization,0.999999999992448,23.999999999423995,0.0416666666666666,0.0416666666666666,1.0,0.7395833333333334,0.2714768535591645,0.0691543297657131,0.5717888200170926,1.705548795617097
20,320,uniform_initialization,0.999999999992448,23.999999999423995,0.0416666666666666,0.0416666666666666,1.0,0.8385416666666666,0.2657235581632295,0.0777326762941569,0.5474616975873581,1.6058346037177993
25,400,uniform_initialization,0.999999999992448,23.999999999423995,0.0416666666666666,0.0416666666666666,1.0,0.8802083333333334,0.263102100698024,0.0808893787911955,0.5344827563877547,1.5244986728650325
30,479,uniform_initialization,0.999999999992448,23.999999999423995,0.0416666666666666,0.0416666666666666,1.0,0.9270833333333334,0.2564635684334276,0.0761445322298519,0.5211896509358481,1.4460886694187562
35,558,uniform_initialization,0.999999999992448,23.999999999423995,0.0416666666666666,0.0416666666666666,1.0,0.9427083333333334,0.2619533543465271,0.0767949614861424,0.5303128591461076,1.3870622521640046
40,638,uniform_initialization,0.999999999992448,23.999999999423995,0.0416666666666666,0.0416666666666666,1.0,0.9739583333333334,0.2688755984694376,0.0893703363746438,0.5413822610998698,1.3179866790816976
45,718,uniform_initialization,0.999999999992448,23.999999999423995,0.0416666666666666,0.0416666666666666,1.0,0.9791666666666666,0.2786704544290339,0.0914468030601542,0.5579534770158331,1.268634683028382
50,798,uniform_initialization,0.999999999992448,23.999999999423995,0.0416666666666666,0.0416666666666666,1.0,0.984375,0.2818998790240244,0.0907724791120482,0.5634460018340625,1.219010270248167
55,877,uniform_initialization,0.999999999992448,23.999999999423995,0.0416666666666666,0.0416666666666666,1.0,0.9895833333333334,0.2900743039657809,0.0924375775894768,0.5797141099820987,1.1766825856050227
60,957,uniform_initialization,0.999999999992448,23.999999999423995,0.0416666666666666,0.0416666666666666,1.0,0.9895833333333334,0.3010149010852435,0.0936647584837761,0.6000906834330277,1.144245435776673
65,1035,adaptive,0.9938343774009376,23.53462757397861,0.0588857886046668,0.0260106446608022,1.0,0.9947916666666666,0.3041181803153924,0.0915523539670684,0.6066996212150199,1.1043356554113208
